,Analytic Details,Bypass,CAPEC ID,Contributor,Data Source,Description,Group,Group Alias,Group ID,Mitigation,Platform,Requires Permissions,Requires System,Tactic,Technique ID,Technique Name,URL
10,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']","['[[Software/S0044|JHUHUGIT]] tests if it can reach its C2 server by first attempting a direct connection, and if it fails, obtaining proxy settings and sending the connection through a proxy, and finally injecting code into a running browser if the proxy method fails.[[CiteRef::ESET Sednit Part 1]]']",['APT28'],"['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']",['G0007'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
11,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['The C2 server used by [[Software/S0117|XTunnel]] provides a port number to the victim to use as a fallback in case the connection closes on the currently used port.[[CiteRef::ESET Sednit Part 2]]'],['APT28'],"['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']",['G0007'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
12,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0089|BlackEnergy]] has the capability to communicate over a backup channel via plus.google.com.[[CiteRef::Securelist BlackEnergy Nov 2014]]'],['Sandworm Team'],"['Sandworm Team', 'Quedagh']",['G0034'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
13,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']","['[[Software/S0034|NETEAGLE]] will attempt to detect if the infected host is configured to a proxy. If so, [[Software/S0034|NETEAGLE]] will send beacons via an HTTP POST request; otherwise it will send beacons via UDP/6000.[[CiteRef::FireEye APT30]]']",['APT30'],['APT30'],['G0013'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
14,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0058|SslMM]] has a hard-coded primary and backup C2 string.[[CiteRef::Baumgartner Naikon 2015]]'],['Naikon'],['Naikon'],['G0019'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
15,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0059|WinMM]] is usually configured with primary and backup domains for C2 communications.[[CiteRef::Baumgartner Naikon 2015]]'],['Naikon'],['Naikon'],['G0019'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
16,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']","['[[Software/S0084|Mis-Type]] first attempts to use a Base64-encoded network protocol over a raw TCP socket for C2, and if that method fails, falls back to a secondary HTTP-based protocol to communicate to an alternate C2 server.[[CiteRef::Cylance Dust Storm]]']",['Dust Storm'],['Dust Storm'],['G0031'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
17,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']","['[[Software/S0085|S-Type]] primarily uses port 80 for C2, but falls back to ports 443 or 8080 if initial communication fails.[[CiteRef::Cylance Dust Storm]]']",['Dust Storm'],['Dust Storm'],['G0031'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
18,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0051|MiniDuke]] uses Google Search to identify C2 servers if its primary C2 method via Twitter is not working.[[CiteRef::Securelist MiniDuke Feb 2013]]'],['APT29'],"['APT29', 'The Dukes', 'Cozy Bear']",['G0016'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
19,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']","['[[Group/G0032|Lazarus Group]] malware SierraAlfa sends data to one of the hard-coded C2 servers chosen at random, and if the transmission fails, chooses a new C2 server to attempt the transmission again.[[CiteRef::Novetta Blockbuster RATs]]']",['Lazarus Group'],"['Lazarus Group', 'HIDDEN COBRA', 'Guardians of Peace']",['G0032'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
